scientificName,phylo_rich,phylo_simp,eigen1_plantGenus,eigen2_plantGenus,eigen1_plantFam,eigen2_plantFam,rich_genus,simpson_genus,rich_fam,simpson_fam,n_globi
Sphecodes autumnalis,514.436777,464.2093423699235,-0.021220923965309692,0.0025803396774068087,0.25667392256263394,-0.27784774438441084,2,2,2,2,4
Sphecodes banksii,617.318184,444.71780392063846,0.08500121355812137,0.014045789241699969,-0.04719727558680279,-0.17657450741101713,3,1.6623376623376624,3,1.6623376623376624,16
Sphecodes brachycephalus,493.39538099999993,423.84776421647865,0.07464748853158992,-0.0010777656815026495,-0.021315440103841458,-0.16190619639555748,2,1.4235294117647057,2,1.4235294117647057,11
Sphecodes clematidis,1002.0622010000001,489.665925151123,0.2664218726262674,-0.039270104273488704,-0.4247709138833763,-0.001728460635158022,12,10.714285714285714,5,2.472527472527473,15
Sphecodes confertus,1401.681463,520.1155925380408,0.37811950224990326,-0.22287782672524722,-0.28955708695787286,0.055242582550975874,11,7.333333333333334,10,5.377777777777779,22
Sphecodes cressonii,2019.2621919999992,521.5111038783955,0.3159009308094941,-0.24207210677228477,-0.2847605191405301,0.01806562698007573,28,16.753846153846155,11,4.883408071748879,66
Sphecodes davisii,974.573719,446.62086128404445,0.386526259753479,-0.06194640235609439,-0.43184852958756026,-0.009818070358088704,14,7.384615384615385,5,1.4883720930232558,48
Sphecodes eustictus,890.5092330003,495.4533216635058,0.03808638917389549,0.008771349840505411,-0.367377724651589,-0.05530399252509108,7,4.666666666666666,5,3.0624999999999996,28
Sphecodes galerus,510.576774,461.50070154839494,0.020821110768157493,0.0027332338808419843,-0.35792250795373864,-0.06886974338713313,2,2,2,2,4
Sphecodes heraclei,2987.8339036003017,533.6410594495972,0.28354256623873164,-0.05325640517242083,-0.3085219977934547,0.047558007494445116,40,19.02232558139535,23,6.444689568231953,143
Sphecodes illinoensis,618.4563610000001,444.4312514569671,0.10240065086161915,0.003472742317892162,-0.43506318849159065,-8.944371204044879e-4,5,3.130434782608696,3,1.6744186046511629,12
Sphecodes kincaidii,1221.6793340000004,484.94691714782255,0.11366715353115685,0.08724036061603424,-0.42188004932054357,-0.008431311253754153,16,14.28571428571428,7,2.2471910112359548,20
Sphecodes mandibularis,1106.416494,495.2635281628433,0.31480572693771913,-0.04498313268548249,-0.29315854559777854,-0.047407997172055,14,13.235294117647058,7,4.090909090909091,15
Sphecodes manni,390.70253999999994,390.70254,0.24976126554517813,0.24197186766138892,-0.4353117852545873,-0.016750333397251526,1,1,1,1,11
Sphecodes minor,2768.6413560000015,545.472994429961,0.04159583383459921,-0.11183063650350128,-0.029622027778884067,0.22354379383339848,36,21.252873563218383,19,10.159340659340666,86
Sphecodes pimpinellae,484.43275200000005,437.3322063250989,-0.01374176595954223,0.016005027072515908,-0.42161652141892936,-0.01620906672171704,2,1.7999999999999998,2,1.7999999999999998,3
Sphecodes prosphorus,781.979084,485.5664223628974,0.21362245574019412,-0.03925813352154129,-0.315659110308004,0.038438592262384316,6,3.9473684210526314,4,2.586206896551724,15
Sphecodes pycnanthemi,390.70254,390.7025400000001,0.004872728713300726,0.017221234585084462,0.22677776510175718,-0.16165701522412834,1,1,1,1,1
Sphecodes ranunculi,2030.0835439999987,532.3516307179706,0.06426631202841339,-0.24417483174250748,0.10233699366191162,-0.20334285848357567,25,19.05882352941175,12,4.729927007299269,36
Sphecodes smilacinae,635.4193419999999,498.60262477643937,0.23608226716960745,0.0028317239317980822,-0.28482523907255963,-0.054625887648656404,3,3,3,3,3
Sphecodosoma beameri,390.7025399999999,390.70253999999994,-0.05215530103249179,0.02922089722384621,0.3313657177398813,-0.2638414415364857,1,1,1,1,6
